tweet_id,tweet_text,label_text
910709499660398592,How does helping #MexicoQuake victims sound? https://t.co/6vF83o0WYE https://t.co/VCXjCqnQG2,rescue_volunteering_or_donation_effort
910658635851644928,OzarksFirst (KOLR): Springfield Woman's Family Survives Mexico Earthquake https://t.co/ex85CLDaVg https://t.co/nbjGzEahp0,affected_individuals
910633404475019266,Salma Hayek Donates $100K to Mexico's Earthquake Victims and Implores Fans to Help https://t.co/HAZRw7MLKb,rescue_volunteering_or_donation_effort
911704186261311488,Volunteers wait for their shift sorting through the debris of a collapsed building in Condesa. #MexicoEarthquake https://t.co/3E5OThmJYG,rescue_volunteering_or_donation_effort
912995259973558273,Unlikely band of friends call on the public to help Mexico after earthquake https://t.co/EGzSYWzHrW https://t.co/xpRxb2nf4s,rescue_volunteering_or_donation_effort
930407396698218498,Quake kills 430 in Iranian border region rebuilt after war https://t.co/vupKQ1i1uK https://t.co/ghzamRSFTB,injured_or_dead_people
910533071006584832,RT @IAFsite: The IAF &amp; Home Front Command #aid mission to earthquake-stricken #Mexico has taken off from Nevatim AFB https://t.co/2UnLELPsXx,rescue_volunteering_or_donation_effort
913740142678069248,RAW VIDEO: Terrified Mexicans Run From Crumbling Buildings - Mexico Earthquake https://t.co/BBimfSXa8w #staged https://t.co/Sq2uiNjU02,infrastructure_and_utility_damage
911847322870599680,Earthquake shakes Mexico as it attempts to recover from quakes that killed 400 https://t.co/2SKdY8eqUM #Scotland https://t.co/SIIhkIdGIx,injured_or_dead_people
910756608371822594,Eleven family members die during baptism in #Mexico earthquake #centralMexico https://t.co/OLIoSwxP2K https://t.co/fiHsng7qeO,injured_or_dead_people
912326845827371008,Protests last night at #AlvaroObregon286 as families demand 'where are the bodies?'. #MexicoEarthquake https://t.co/B4RJJHJcEJ,injured_or_dead_people
930042585770536960,"A devastating earthquake has claimed hundreds of lives, details still emerging. https://t.co/X5USh4YbHB https://t.co/iWgg4pyqBO",injured_or_dead_people
910635936396046337,People in Central Mexico face earthquake's grim aftermath https://t.co/nndABXQtFo https://t.co/TLxNHIUlku,affected_individuals
912016351685996545,Israeli aid team in #Mexico working day&amp;night to find survivors #MexicoEarthquake á¼žEá¼Ÿ1 https://t.co/UO2ZKkaisB,rescue_volunteering_or_donation_effort
910652866674688001,"This is ""Frida"", she has saved 52 people so far in Mexico's Earthquake https://t.co/hX93LPtsNQ",rescue_volunteering_or_donation_effort
913066526185607169,"Amid Search for More Bodies, Mexico City Office Building Has Become a Tombâ€¦ https://t.co/eOdZ6O4q7n https://t.co/CoYHUBj7wk",injured_or_dead_people
910532453957357568,Hundreds Dead in Mexico After Earthquake Strikes on Anniversary of Devastating 1985 Quake https://t.co/cG0uV61L8t https://t.co/SyF7wQL0Ak,injured_or_dead_people
912384355116490752,Team of Humanity Firdt USA serving near Mexico City after earthquake we https://t.co/VeLb5jkp3n,rescue_volunteering_or_donation_effort
913522326125367302,Brave And Heroic Dog Saves Mexico Earthquake Survivors https://t.co/TsSHNh934U https://t.co/8rTK4p3IHU,rescue_volunteering_or_donation_effort
910566780145246208,MASSIVE 7.1 EARTHQUAKE HITS MEXICO CITY - Apocalyptic Scenes as Buildings Fall Apart https://t.co/45Ck5BeK8g https://t.co/PejBdDjRxh,infrastructure_and_utility_damage
910547215818436608,"PHOTO OF THE DAY: Soldiers, rescuers and civilians work at a collapsed building after an earthquake in Mexico City https://t.co/I1OGxfLe6v",rescue_volunteering_or_donation_effort
910549291940352001,Jan Man: Rescue operation underway in Mexico after devastating earthquake https://t.co/khlszg9IZU #NewsInVidsIndia https://t.co/rAMT5FZLVu,rescue_volunteering_or_donation_effort
