tweet_id,tweet_text,label_text
870425128731107328,IFRC launches emergency appeal to help flood-affected people in Sri Lanka #humanitarian #newzealand #auckland https://t.co/cs9RhWsMuF,rescue_volunteering_or_donation_effort
871757822056202240,"Bangladesh donates US $500,000 for Sri Lanka floodÂ victims https://t.co/eabOqVqesF https://t.co/AJQSrEPMud",rescue_volunteering_or_donation_effort
874038675532808192,Aggregated losses from Cyclone #Mora expected to exceed $100m https://t.co/2zOrNObbJW #ImpactForecasting https://t.co/qIrXxGHL3K,infrastructure_and_utility_damage
871242972385296384,Relief Measures: Swrr Assists For Cyclone Mora Victims https://t.co/Z7WlOQpd2M https://t.co/8NfnwWWSIp,rescue_volunteering_or_donation_effort
870235839560921088,Pakistan Navy extends relief activities to flood-stricken Sri Lanka https://t.co/xDIdxxefAp https://t.co/CYdpv4SZJ2,rescue_volunteering_or_donation_effort
870678906940129280,24 more #mora survivors rescued https://t.co/t4djCISciZ https://t.co/ceiVcwIQGb,missing_or_found_people
869988473419309059,RT @shafiur: Misery in the #rohingya #refugee camps after Cyclone Mora. Walls and roofs blown away. #bangladesh https://t.co/QpA6DmNvyS,infrastructure_and_utility_damage
873178065395961857,RT @PartnersRelief: Cyclone Mora has decimated #Rohingya shelters in their coastal camps. https://t.co/aMaK9Vx4db,infrastructure_and_utility_damage
873113700944584706,Mudslides and #floods cause devastation in #SriLanka â€“ in pictures https://t.co/7RixAVaGxh https://t.co/Znna8RWc5C,infrastructure_and_utility_damage
875722518899961856,Thank you #Italyá¼žEá¼Ÿ9 for supporting WFP efforts to help the people affected by floods and landslides in #SriLanka á¼Ÿ1á¼Ÿ0 https://t.co/XbqNAwyaw2,rescue_volunteering_or_donation_effort
875665628354314240,More #SriLanka PM assures to restore roads and infrastructure damaged by floods soon https://t.co/QHHvYt5s4K https://t.co/myAyEfDG1f,infrastructure_and_utility_damage
869968240956420096,RT @RansaraJey: This guy is building a phone charger with 40 charge ports for flood victims #FloodSL https://t.co/ggGxYm7S9d,rescue_volunteering_or_donation_effort
875350400278441985,"Keeping sporting rivalry aside and risking their own lives to save their neighboursâ€™, theâ€¦ https://t.co/UWAKdR4ONd https://t.co/p8ew7pg2hJ",rescue_volunteering_or_donation_effort
871880350238203904,Relief Lifeline Extended as Cyclone Mora Leaves More Destruction in ItsÂ Wake https://t.co/WvDT3ZxguL https://t.co/AohFt7hmjc,infrastructure_and_utility_damage
869957461993635840,https://t.co/Z4mxTO7fpp Indian Navy carries out relief operations in flood-hit Sri Lanka https://t.co/VUbcpnUwfq,rescue_volunteering_or_donation_effort
870419183632228353,Bangladesh Cyclone Mora â€” UNHCR to deliver emergency supplies toÂ refugees https://t.co/iVAmo415Sx https://t.co/sfYE1i6Fvp,rescue_volunteering_or_donation_effort
870884328258940928,".@UN agencies call for urgent aid to help people in #Bangladesh, #Myanmar affected by #CycloneMora. https://t.co/C1cDMJXoei",rescue_volunteering_or_donation_effort
870032047145746432,"#Mora Kills 3, Displaces Hundreds of Thousands in #Bangladesh https://t.co/voMYpOB6f7 https://t.co/G3u0KO3EJC",injured_or_dead_people
870261972603772931,Cyclone Mora: Indian ship with relief materials reaches Chittagong https://t.co/65hGZapJjx https://t.co/nyxv1B85hR,rescue_volunteering_or_donation_effort
872893065652056065,Lee Young Ae Revealed To Have Made Donation For Sri Lanka Flood Relief https://t.co/DU6Vq9w9RH https://t.co/9nFDlrcmLz,rescue_volunteering_or_donation_effort
870033439214510083,Cyclone Mora has devastating impact on Rohingya Refugee Camps in Bangladesh. Details here: https://t.co/z473rsT0jf https://t.co/MmA6HKcLJQ,infrastructure_and_utility_damage
